Timestamp,Score,เพศ,อายุ  ,ท่านกำลังศึกษาอยู่ในระดับ,จังหวัดที่ท่านกำลังอาศัยอยู่ในปัจจุบัน,ปกติท่านเล่นมือถือ / คอมพิวเตอร์ เฉลี่ยต่อวันเท่าไร,ท่านดู Youtube เฉลี่ยต่อวันเท่าไร,ท่านชอบคอนเทนต์แนวไหนมากที่สุด,ท่านเคยรับชมคอนเทนต์ที่มีสปอนเซอร์ หรือ รับชม Ads แล้วไปซื้อหรือไม่,ท่านสมัครสมาชิก Youtube Premium หรือไม่,ท่านชอบดู Youtube Shorts หรือไม่,ท่านมีความคิดเห็นกับการการยิง Ads ของ Youtube,ท่านมีความพึงพอใจต่อการดู Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการดู Youtube Shorts มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการใช้งาน Youtube Premium มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการรับชมคอนเทนต์ใน Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อกับสิ่งที่ได้รับจากแอพพลิเคชัน Youtube ในภาพรวม มากน้อยเพียงใด
8/24/2023 10:12:57,0,หญิง,41 - 50 ปี,สูงกว่าปริญญาตรี,กรุงเทพมหานคร,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,4,4,0,4,4
8/24/2023 10:49:57,0,ชาย,41 - 50 ปี,สูงกว่าปริญญาตรี,ขอนแก่น,9 - 12 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เศรษฐกิจ การเมือง,เคย,ไม่สมัคร,ชอบดู,เหมาะสม,4,4,1,4,3
8/24/2023 11:03:33,0,ชาย,20 - 30 ปี,ปริญญาตรี,กาฬสินธุ์,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เล่าเรื่องผี,ไม่เคย,สมัคร,ชอบดู,Ads มีความถี่เกินไป,4,4,5,4,4
8/24/2023 11:50:35,0,หญิง,20 - 30 ปี,ปริญญาตรี,กรุงเทพมหานคร,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,เกม,เคย,สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,2,5,5,5
8/24/2023 11:58:08,0,ชาย,20 - 30 ปี,สูงกว่าปริญญาตรี,ระยอง,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,ท่องเที่ยว,เคย,สมัคร,ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,4,3,5,4,4
8/24/2023 12:48:27,0,หญิง,20 - 30 ปี,ปริญญาตรี,กรุงเทพมหานคร,3 - 6 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,Vlog,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,เหมาะสม,4,2,0,3,3
8/24/2023 14:03:07,0,หญิง,31 - 40 ปี,ปริญญาตรี,ประจวบคีรีขันธ์,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,Vlog,เคย,สมัคร,ชอบดู,เหมาะสม,5,5,5,5,5
8/24/2023 14:24:54,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,ไม่เคย,สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,4,3,4,4,4
8/24/2023 14:47:03,0,หญิง,20 - 30 ปี,ปริญญาตรี,จันทบุรี,9 - 12 ชั่วโมง,3 - 6 ชั่วโมง,Vlog,ไม่เคย,สมัคร,ไม่ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,5,5,5,5,5
8/24/2023 17:53:11,0,หญิง,20 - 30 ปี,ปริญญาตรี,อุดรธานี,6 - 9 ชั่วโมง,9 - 12 ชั่วโมง,การ์ตูน,เคย,สมัคร,ชอบดู,Ads มีความถี่เกินไป,5,3,5,5,5
8/24/2023 19:29:22,0,หญิง,10 - 20 ปี,ต่ำกว่าปริญญาตรี,เพชรบูรณ์,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,การ์ตูน,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,4,5,0,3,5
